Score,Value,Answer,Question
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_1,0,Wrong,question_1
score_1,1,Right,question_1
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,1,Right,question_2
score_2,0,Wrong,question_2
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,0,Wrong,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,1,Right,question_3
score_3,0,Wrong,question_3
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,0,Wrong,question_4
score_4,1,Right,question_4
score_4,1,Right,question_4
score_4,0,Wrong,question_4
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,0,Wrong,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_5,1,Right,question_5
score_5,1,Right,question_5
score_5,0,Wrong,question_5
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_6,0,Wrong,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_6,1,Right,question_6
score_6,1,Right,question_6
score_6,0,Wrong,question_6
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,0,Wrong,question_7
score_7,0,Wrong,question_7
score_7,1,Right,question_7
score_7,0,Wrong,question_7
score_7,0,Wrong,question_7
score_7,0,Wrong,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,1,Right,question_7
score_7,0,Wrong,question_7
score_7,1,Right,question_7
